,extWallU_siu,extWallU_ipu
0,0.004,0.005
1,0.008,0.01
2,0.012,0.015
3,0.017,0.02
4,0.021,0.025
5,0.025,0.03
6,0.03,0.035
7,0.035,0.04
8,0.04,0.045
9,0.044,0.05
10,0.049,0.055
11,0.055,0.06
12,0.06,0.065
13,0.065,0.07
14,0.071,0.075
15,0.077,0.08
16,0.083,0.085
17,0.089,0.09
18,0.095,0.095
19,0.101,0.1
20,0.108,0.105
21,0.114,0.11
22,0.121,0.115
23,0.128,0.12
24,0.136,0.125
25,0.143,0.13
26,0.151,0.135
27,0.159,0.14
28,0.167,0.145
29,0.176,0.15
30,0.185,0.155
31,0.194,0.16
32,0.203,0.165
33,0.213,0.17
34,0.223,0.175
35,0.233,0.18
36,0.244,0.185
37,0.255,0.19
38,0.267,0.195
